
1   33  1
2	9   1
3	4   1
4	66  1
5	0.5 1
6	18  1
7	149 1
8	14  1
9	15  1
10	50  1
11	81  1
12	34  1
13	85  1
14	54  1
15	3   1
16	15  1
17	6   1
18	8   1
19	130 1
20	19  1
21	19  1
22	112 1
23	15  1
24	16  1
25	154 1
26	50  1
27	10  1
28	2   1
29	22  1
30	53  1
31	19  1
32	58  1
33	20  1
34	3   1
35	92  1
36	5   1
37	66  1
38	289 1
39	3   1
40	9   1
41	12  1
42	18  1
43	9   1
44	75  1
45	15  1
46	291 1
47	212 1
48	4   1
49	5   1
50	308 1
51	269 1
52	276 1
53	1   1
54	400 1
55	294 1
56	227 1
57	118 1
58	13  1
59	47  1
60	89  1
61	242 1
62	99  1
63	607 1
64	83  1
65	2   1
66	26  1
67	586 1
68	708 1
69	6   1
70	4   1
71	55  1
72	409 1
73	36  1
74	15  1
75	573 1
76	583 1
77	60  1
78	19  1
79	20  1
80	79  1
81	24  1
82	540 1
83	52  1
84	1596    1
85	314 1
86	1   1
87	763 1
88	10  1
89	20  1
90	144 1
91	28  1
92	56  1
93	476 1
94	65  1
95	98  1
96	884 1
97	212 1
98	287 1
99	53  1
100	3   1
101	831 1
102	43  1
103	55  1
104	109 1
